y	x1	x2	x1sq	x2sq	x1x2	x1sqx2	x1x2sq
2.0	5.1	4	26.01	16	20.4	104.04	81.6
3.5	3.5	4	12.25	16	14.0	49.00	56.0
8.5	2.4	2	5.76	4	4.8	11.52	9.6
4.5	4.0	6	16.00	36	24.0	96.00	144.0
7.0	1.7	2	2.89	4	3.4	5.78	6.8
7.0	2.0	2	4.00	4	4.0	8.00	8.0
2.0	5.0	4	25.00	16	20.0	100.00	80.0
5.0	3.2	2	10.24	4	6.4	20.48	12.8
8.0	5.2	6	27.04	36	31.2	162.24	187.2
5.0	4.3	6	18.49	36	25.8	110.94	154.8
6.0	2.9	2	8.41	4	5.8	16.82	11.6
7.5	1.1	2	1.21	4	2.2	2.42	4.4
4.0	2.6	4	6.76	16	10.4	27.04	41.6
4.0	4.0	6	16.00	36	24.0	96.00	144.0
1.0	5.3	4	28.09	16	21.2	112.36	84.8
5.0	4.9	6	24.01	36	29.4	144.06	176.4
6.5	5.0	6	25.00	36	30.0	150.00	180.0
1.5	3.9	4	15.21	16	15.6	60.84	62.4
